ticker,current_price,change_1d,volume_ratio,obv_change_20d,price_momentum_20d,flow_score,flow_status,name,category
SPY,694.9,0.14,0.96,-78.24,0.16,30,Outflow,SPDR S&P 500,Broad Market
QQQ,614.99,0.11,1.08,-60.93,-1.8,30,Outflow,Invesco QQQ,Broad Market
IWM,267.35,0.17,0.89,75.16,2.29,78,Strong Inflow,iShares Russell 2000,Broad Market
DIA,503.24,0.4,1.09,63.74,2.33,78,Strong Inflow,SPDR Dow Jones,Broad Market
VTI,343.11,0.14,0.79,-147.59,0.22,30,Outflow,Vanguard Total Stock,Broad Market
VOO,639.11,0.14,1.12,-9.98,0.17,40,Outflow,Vanguard S&P 500,Broad Market
XLK,143.67,0.22,1.46,9.94,-1.92,68,Inflow,Technology,Sector
XLF,53.9,-0.06,0.91,-40.71,-0.6,30,Outflow,Financial,Sector
XLV,156.35,0.02,1.12,-114.08,-0.25,30,Outflow,Healthcare,Sector
XLE,53.47,-0.33,0.84,510.76,13.76,85,Strong Inflow,Energy,Sector
XLY,118.82,1.08,1.29,-301.07,-4.34,30,Outflow,Consumer Disc.,Sector
XLP,87.08,-0.4,1.14,87.01,7.36,85,Strong Inflow,Consumer Staples,Sector
XLI,173.8,0.05,1.07,87.04,5.97,85,Strong Inflow,Industrials,Sector
XLB,52.42,0.47,1.02,103.37,7.58,85,Strong Inflow,Materials,Sector
XLU,43.86,0.88,0.93,368.41,2.36,78,Strong Inflow,Utilities,Sector
XLRE,42.59,0.81,0.79,88.73,4.06,78,Strong Inflow,Real Estate,Sector
XLC,117.43,0.47,1.18,-270.23,0.46,30,Outflow,Comm. Services,Sector
GLD,460.77,-1.34,0.49,122.82,9.28,75,Strong Inflow,Gold SPDR,Commodity
SLV,72.86,-4.19,0.56,16.28,-7.31,45,Neutral,Silver iShares,Commodity
USO,77.68,-0.44,0.89,2609.29,5.72,85,Strong Inflow,US Oil Fund,Commodity
TLT,88.51,1.13,0.82,26.3,1.17,70,Strong Inflow,20+ Yr Treasury,Fixed Income
IEF,96.54,0.46,0.84,-64.3,0.57,30,Outflow,7-10 Yr Treasury,Fixed Income
HYG,80.99,0.08,1.04,1.09,0.43,50,Neutral,High Yield Corp,Fixed Income
LQD,111.02,0.42,0.78,24.95,0.62,70,Strong Inflow,Inv. Grade Corp,Fixed Income
JNK,97.66,0.12,1.07,21.62,0.52,70,Strong Inflow,High Yield Bond,Fixed Income
